bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
leela_s-800B,always_not_taken,30.0889%,114.252,83.6538%,0.5401%,0.0006%,9.91205%,2.94484%,0%,2.94484%
cactuBSSN_s-2421B,always_not_taken,36.9909%,5.7361,99.0864%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
omnetpp_s-874B,always_not_taken,39.5691%,125.432,79.2401%,1.12889%,0.33554%,13.3599%,1.77453%,1.19145%,2.96598%
fotonik3d_s-1176B,always_not_taken,0.112752%,17.5409,98.2404%,0.00044%,0%,1.75475%,0.00044%,0%,0.00044%
roms_s-842B,always_not_taken,48.59%,86.9419,83.0849%,1.66853%,0.06787%,13.9066%,0.63424%,0%,0.63423%
gcc_s-734B,always_not_taken,46.9809%,125.596,76.3073%,2.47894%,0%,18.687%,1.26147%,0%,1.26147%
deepsjeng_s-928B,always_not_taken,31.6966%,102.337,85.0135%,0.91681%,0.0916%,10.0746%,1.94992%,0%,1.94985%
nab_s-5853B,always_not_taken,28.6366%,69.108,90.3124%,0.83048%,8,6.64367%,1.10487%,0%,1.10486%
cam4_s-573B,always_not_taken,35.7719%,94.9665,85.214%,0.41425%,5,13.1071%,0.63223%,0%,0.63218%
pop2_s-17B,always_not_taken,19.5892%,92.2417,88.5257%,0.21736%,0.00632%,10.4504%,0.3986%,0%,0.3986%
bwaves_s-3699B,always_not_taken,25.5174%,107.923,85.5087%,1.05337%,0.08456%,13.1345%,0.10862%,0%,0.10861%
imagick_s-10316B,always_not_taken,33.5406%,68.7863,89.6463%,0.00056%,0%,10.3496%,0%,0%,0%
x264_s-18B,always_not_taken,24.4189%,32.1176,95.7472%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
mcf_s-665B,always_not_taken,36.5035%,158.637,75.0127%,2.63746%,0%,16.998%,2.52571%,0.14836%,2.67404%
xalancbmk_s-700B,always_not_taken,63.1396%,107.093,70.9425%,0.67259%,0.27496%,24.7808%,1.07802%,0.58467%,1.6627%
wrf_s-575B,always_not_taken,45.9831%,72.7969,86.52%,0.964%,0%,10.196%,1.15834%,0%,1.15833%
xz_s-3167B,always_not_taken,48.3588%,78.0059,84.8914%,0.68142%,0.09689%,14.1945%,0.04246%,0.02381%,0.06628%
perlbench_s-210B,always_not_taken,42.3271%,94.6464,83.5853%,2.00074%,0.64447%,11.9608%,0.83309%,0.06936%,0.90246%
lbm_s-4268B,always_not_taken,10.3896%,15.9312,98.2198%,0.28476%,0%,1.49307%,0%,0%,0%
exchange2_s-1699B,always_not_taken,34.7219%,88.2776,86.4731%,0.97579%,0%,12.5307%,0.0084%,0%,0.0084%
