bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
lbm_s-4268B,always_taken,89.6099%,1.8472,98.2209%,0.28476%,0%,1.49309%,0%,0%,0%
bwaves_s-3699B,always_taken,74.4829%,36.9729,85.5075%,1.05336%,0.08451%,13.1344%,0.10861%,0%,0.1086%
mcf_s-665B,always_taken,63.4965%,91.1987,75.0127%,2.63746%,0%,16.998%,2.52572%,0.14836%,2.67404%
nab_s-5853B,always_taken,71.3635%,27.7314,90.3124%,0.83048%,8,6.64365%,1.10487%,0%,1.10485%
imagick_s-10316B,always_taken,66.4594%,34.7149,89.6461%,0.00056%,0%,10.3496%,0%,0%,0%
perlbench_s-210B,always_taken,57.6729%,69.4626,83.5854%,2.00075%,0.64447%,11.9608%,0.83309%,0.06936%,0.90246%
deepsjeng_s-928B,always_taken,68.3034%,47.4901,85.0135%,0.91681%,0.0916%,10.0745%,1.94992%,0%,1.94985%
gcc_s-734B,always_taken,53.0191%,111.293,76.3074%,2.47894%,0%,18.687%,1.26147%,0%,1.26147%
wrf_s-575B,always_taken,54.0169%,61.97,86.5198%,0.964%,0%,10.196%,1.15834%,0%,1.15833%
xz_s-3167B,always_taken,51.6411%,73.0476,84.891%,0.68142%,0.09689%,14.1944%,0.04246%,0.02381%,0.06628%
cam4_s-573B,always_taken,64.2281%,52.8917,85.214%,0.41425%,5,13.1071%,0.63223%,0%,0.63218%
omnetpp_s-874B,always_taken,60.4309%,82.1305,79.24%,1.12889%,0.33554%,13.3598%,1.77453%,1.19145%,2.96598%
x264_s-18B,always_taken,75.5811%,10.3766,95.7473%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
xalancbmk_s-700B,always_taken,36.8604%,183.444,70.9425%,0.67259%,0.27496%,24.7808%,1.07802%,0.58467%,1.6627%
cactuBSSN_s-2421B,always_taken,63.0091%,3.3675,99.0874%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
fotonik3d_s-1176B,always_taken,99.8873%,0.0198,98.2435%,0.00044%,0%,1.7548%,0.00044%,0%,0.00044%
exchange2_s-1699B,always_taken,65.278%,46.9557,86.4731%,0.97579%,0%,12.5307%,0.0084%,0%,0.0084%
roms_s-842B,always_taken,51.41%,82.1731,83.085%,1.66853%,0.06787%,13.9066%,0.63424%,0%,0.63423%
leela_s-800B,always_taken,69.9111%,49.1726,83.6538%,0.5401%,0.0006%,9.91205%,2.94484%,0%,2.94484%
pop2_s-17B,always_taken,80.4108%,22.4714,88.5284%,0.21736%,0.00632%,10.4505%,0.3986%,0%,0.3986%
