bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
nab_s-5853B,bimodal,97.0631%,2.8441,90.3126%,0.83048%,8,6.64371%,1.10487%,0%,1.10487%
cactuBSSN_s-2421B,bimodal,99.3398%,0.0601,99.0874%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
imagick_s-10316B,bimodal,99.6979%,0.3127,89.647%,0.00056%,0%,10.3496%,0%,0%,0%
pop2_s-17B,bimodal,96.5579%,3.9486,88.5284%,0.21736%,0.00632%,10.4505%,0.3986%,0%,0.3986%
gcc_s-734B,bimodal,94.7056%,12.5419,76.3076%,2.47895%,0%,18.6871%,1.26147%,0%,1.26147%
fotonik3d_s-1176B,bimodal,99.9749%,0.0044,98.2435%,0.00044%,0%,1.7548%,0.00044%,0%,0.00044%
roms_s-842B,bimodal,81.9922%,30.4539,83.085%,1.66853%,0.06787%,13.9066%,0.63425%,0%,0.63423%
xz_s-3167B,bimodal,92.2142%,11.7607,84.8914%,0.68142%,0.09689%,14.1945%,0.04246%,0.02381%,0.06628%
deepsjeng_s-928B,bimodal,90.7472%,13.8634,85.0146%,0.91683%,0.0916%,10.0748%,1.94994%,0%,1.94987%
leela_s-800B,bimodal,87.313%,20.7337,83.654%,0.5401%,0.0006%,9.91209%,2.94486%,0%,2.94486%
bwaves_s-3699B,bimodal,87.3075%,18.3908,85.5075%,1.05335%,0.08451%,13.1344%,0.10861%,0%,0.1086%
lbm_s-4268B,bimodal,95.048%,0.8804,98.2215%,0.28476%,0%,1.4931%,0%,0%,0%
perlbench_s-210B,bimodal,97.4263%,4.2237,83.5854%,2.00075%,0.64447%,11.9608%,0.83309%,0.06936%,0.90246%
wrf_s-575B,bimodal,96.0037%,5.3858,86.5204%,0.964%,0%,10.1961%,1.15836%,0%,1.15835%
x264_s-18B,bimodal,88.5231%,4.877,95.7473%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
xalancbmk_s-700B,bimodal,98.0422%,5.6883,70.9441%,0.67259%,0.27496%,24.7818%,1.07802%,0.58467%,1.6627%
omnetpp_s-874B,bimodal,95.7633%,8.7938,79.2404%,1.12889%,0.33554%,13.3599%,1.77453%,1.19145%,2.96598%
cam4_s-573B,bimodal,91.2428%,12.9484,85.2147%,0.41426%,5,13.1072%,0.63225%,0%,0.63218%
exchange2_s-1699B,bimodal,84.0343%,21.5909,86.4732%,0.97579%,0%,12.5307%,0.0084%,0%,0.0084%
mcf_s-665B,bimodal,89.1088%,27.2101,75.0128%,2.63746%,0%,16.998%,2.52572%,0.14836%,2.67404%
