bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
deepsjeng_s-928B,gshare,92.6559%,11.0036,85.0146%,0.91683%,0.0916%,10.0748%,1.94994%,0%,1.94987%
perlbench_s-210B,gshare,97.8996%,3.4469,83.5857%,2.00075%,0.64447%,11.9609%,0.83309%,0.06936%,0.90246%
omnetpp_s-874B,gshare,96.6228%,7.0099,79.2401%,1.12889%,0.33554%,13.3598%,1.77453%,1.19145%,2.96598%
bwaves_s-3699B,gshare,93.5412%,9.3584,85.5074%,1.05335%,0.08451%,13.1344%,0.10861%,0%,0.1086%
xalancbmk_s-700B,gshare,98.7796%,3.5456,70.9427%,0.67259%,0.27496%,24.7809%,1.07802%,0.58467%,1.6627%
wrf_s-575B,gshare,97.495%,3.3759,86.5204%,0.964%,0%,10.1961%,1.15836%,0%,1.15835%
mcf_s-665B,gshare,91.7704%,20.5604,75.0128%,2.63746%,0%,16.998%,2.52572%,0.14836%,2.67404%
cactuBSSN_s-2421B,gshare,99.5694%,0.0392,99.0874%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
x264_s-18B,gshare,98.1536%,0.7846,95.7473%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
roms_s-842B,gshare,99.0151%,1.6656,83.0854%,1.66855%,0.06788%,13.9067%,0.63426%,0%,0.63425%
fotonik3d_s-1176B,gshare,99.9749%,0.0044,98.2435%,0.00044%,0%,1.7548%,0.00044%,0%,0.00044%
lbm_s-4268B,gshare,96.9835%,0.5363,98.2215%,0.28476%,0%,1.4931%,0%,0%,0%
leela_s-800B,gshare,88.656%,18.539,83.655%,0.5401%,0.0006%,9.91214%,2.94488%,0%,2.94488%
pop2_s-17B,gshare,97.0135%,3.4259,88.5284%,0.21736%,0.00632%,10.4505%,0.3986%,0%,0.3986%
cam4_s-573B,gshare,98.5886%,2.0869,85.2147%,0.41426%,5,13.1072%,0.63225%,0%,0.63218%
exchange2_s-1699B,gshare,95.809%,5.6677,86.4733%,0.97579%,0%,12.5308%,0.0084%,0%,0.0084%
imagick_s-10316B,gshare,99.6975%,0.3131,89.647%,0.00056%,0%,10.3496%,0%,0%,0%
gcc_s-734B,gshare,99.9537%,0.1098,76.3102%,2.47904%,0%,18.6877%,1.26151%,0%,1.26152%
nab_s-5853B,gshare,99.9384%,0.0597,90.3156%,0.83051%,8,6.64388%,1.10491%,0%,1.10489%
xz_s-3167B,gshare,92.2233%,11.7469,84.8911%,0.68142%,0.09689%,14.1945%,0.04246%,0.02381%,0.06628%
