bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
omnetpp_s-874B,my_GAg,62.5036%,77.8285,79.2401%,1.12889%,0.33554%,13.3599%,1.77453%,1.19145%,2.96598%
bwaves_s-3699B,my_GAg,70.6268%,42.5602,85.5075%,1.05336%,0.08451%,13.1344%,0.10861%,0%,0.1086%
deepsjeng_s-928B,my_GAg,61.0109%,58.4163,85.0135%,0.91681%,0.0916%,10.0745%,1.94992%,0%,1.94985%
wrf_s-575B,my_GAg,62.9298%,49.9584,86.5198%,0.964%,0%,10.196%,1.15834%,0%,1.15833%
cam4_s-573B,my_GAg,63.7291%,53.6294,85.214%,0.41425%,5,13.1071%,0.63223%,0%,0.63218%
gcc_s-734B,my_GAg,63.4041%,86.6916,76.3073%,2.47894%,0%,18.687%,1.26147%,0%,1.26147%
xz_s-3167B,my_GAg,54.0404%,69.4236,84.8915%,0.68142%,0.09689%,14.1945%,0.04246%,0.02381%,0.06628%
mcf_s-665B,my_GAg,66.4645%,83.7836,75.0127%,2.63746%,0%,16.998%,2.52572%,0.14836%,2.67404%
cactuBSSN_s-2421B,my_GAg,62.8597%,3.3811,99.0874%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
perlbench_s-210B,my_GAg,54.2942%,75.0074,83.5854%,2.00075%,0.64447%,11.9608%,0.83309%,0.06936%,0.90246%
exchange2_s-1699B,my_GAg,53.0538%,63.4869,86.4731%,0.97579%,0%,12.5307%,0.0084%,0%,0.0084%
xalancbmk_s-700B,my_GAg,72.6946%,79.3323,70.9425%,0.67259%,0.27496%,24.7808%,1.07802%,0.58467%,1.6627%
imagick_s-10316B,my_GAg,66.4508%,34.7238,89.6461%,0.00056%,0%,10.3496%,0%,0%,0%
x264_s-18B,my_GAg,74.9893%,10.6281,95.7473%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
roms_s-842B,my_GAg,46.0412%,91.2524,83.0849%,1.66853%,0.06787%,13.9066%,0.63424%,0%,0.63423%
lbm_s-4268B,my_GAg,89.6099%,1.8472,98.2209%,0.28476%,0%,1.49309%,0%,0%,0%
pop2_s-17B,my_GAg,77.4401%,25.8792,88.5284%,0.21736%,0.00632%,10.4505%,0.3986%,0%,0.3986%
nab_s-5853B,my_GAg,74.1949%,24.9896,90.3124%,0.83048%,8,6.64367%,1.10487%,0%,1.10486%
leela_s-800B,my_GAg,65.2142%,56.8485,83.6538%,0.5401%,0.0006%,9.91205%,2.94484%,0%,2.94484%
fotonik3d_s-1176B,my_GAg,99.8371%,0.0286,98.2435%,0.00044%,0%,1.7548%,0.00044%,0%,0.00044%
