bench_name,bp_method,BP_ACCURACY,MPKI,NOT_BRANCH,BRANCH_DIRECT_JUMP,BRANCH_INDIRECT,BRANCH_CONDITIONAL,BRANCH_DIRECT_CALL,BRANCH_INDIRECT_CALL,BRANCH_RETURN
fotonik3d_s-1176B,my_PAg_IHRT,99.9749%,0.0044,98.2435%,0.00044%,0%,1.7548%,0.00044%,0%,0.00044%
roms_s-842B,my_PAg_IHRT,99.0324%,1.6364,83.0854%,1.66855%,0.06788%,13.9067%,0.63426%,0%,0.63425%
bwaves_s-3699B,my_PAg_IHRT,92.4218%,10.9804,85.5074%,1.05336%,0.08451%,13.1344%,0.10861%,0%,0.1086%
xalancbmk_s-700B,my_PAg_IHRT,98.9339%,3.0974,70.9427%,0.67259%,0.27496%,24.7809%,1.07802%,0.58467%,1.6627%
nab_s-5853B,my_PAg_IHRT,99.8843%,0.112,90.3156%,0.83051%,8,6.64388%,1.10491%,0%,1.10489%
pop2_s-17B,my_PAg_IHRT,97.4081%,2.9733,88.5284%,0.21736%,0.00632%,10.4505%,0.3986%,0%,0.3986%
cactuBSSN_s-2421B,my_PAg_IHRT,99.2893%,0.0647,99.0874%,0.11095%,0.01823%,0.5618%,0.10969%,0%,0.10969%
x264_s-18B,my_PAg_IHRT,99.4413%,0.2374,95.7473%,0.08638%,0.00551%,3.59265%,0.13956%,0.14288%,0.28244%
cam4_s-573B,my_PAg_IHRT,98.8257%,1.7363,85.2156%,0.41427%,5,13.1072%,0.63225%,0%,0.63218%
mcf_s-665B,my_PAg_IHRT,88.0654%,29.8169,75.0128%,2.63746%,0%,16.998%,2.52572%,0.14836%,2.67404%
leela_s-800B,my_PAg_IHRT,87.3398%,20.69,83.654%,0.5401%,0.0006%,9.91209%,2.94486%,0%,2.94486%
imagick_s-10316B,my_PAg_IHRT,99.3892%,0.6322,89.6469%,0.00056%,0%,10.3496%,0%,0%,0%
xz_s-3167B,my_PAg_IHRT,92.5627%,11.2343,84.8913%,0.68142%,0.09689%,14.1945%,0.04246%,0.02381%,0.06628%
deepsjeng_s-928B,my_PAg_IHRT,92.1816%,11.7141,85.0138%,0.91682%,0.0916%,10.0746%,1.94992%,0%,1.94985%
exchange2_s-1699B,my_PAg_IHRT,95.9334%,5.4994,86.4733%,0.97579%,0%,12.5308%,0.0084%,0%,0.0084%
gcc_s-734B,my_PAg_IHRT,99.6742%,0.7717,76.3101%,2.47904%,0%,18.6877%,1.26151%,0%,1.26152%
wrf_s-575B,my_PAg_IHRT,98.8824%,1.5062,86.5227%,0.96403%,0%,10.1964%,1.15837%,0%,1.15837%
omnetpp_s-874B,my_PAg_IHRT,96.9739%,6.2811,79.2408%,1.12889%,0.33554%,13.36%,1.77453%,1.19145%,2.96598%
perlbench_s-210B,my_PAg_IHRT,98.2189%,2.9231,83.5887%,2.00081%,0.64449%,11.9611%,0.83312%,0.06936%,0.90248%
lbm_s-4268B,my_PAg_IHRT,96.6657%,0.5928,98.2215%,0.28476%,0%,1.4931%,0%,0%,0%
